full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
obra/superpowers,80545,80545,6243,487,487,45,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1617,1617,240,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,958,958,219,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,859,859,420,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1459,1459,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
FlorianBruniaux/claude-code-ultimate-guide,1356,1356,240,5,5,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
sickn33/antigravity-awesome-skills,23826,23826,4097,97,97,11,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,590,590,53,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,76337,76337,6501,70,70,6,https://github.com/github/spec-kit
centminmod/my-claude-code-setup,1962,1962,182,1,1,0,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1566,1566,142,7,7,1,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,1636,1636,188,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
rizethereum/claude-code-requirements-builder,1754,1754,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,15036,15036,1169,32,32,6,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1421,1421,181,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1000,1000,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
trailofbits/claude-code-config,1574,1574,120,1,1,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1170,1170,142,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1260,1260,354,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
anthropics/claude-plugins-official,10447,10447,1053,142,142,14,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1468,1468,121,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,27523,27523,1671,187,187,11,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1159,1159,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1124,1124,126,1,1,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1600,1600,194,6,6,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
peterkrueck/Claude-Code-Development-Kit,1324,1324,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
0xfurai/claude-code-subagents,769,769,140,-1,-1,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,978,978,122,0,0,0,https://github.com/jarrodwatts/claude-code-config
winfunc/opcode,20902,20902,1608,4,4,0,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1577,1577,100,0,0,0,https://github.com/pchalasani/claude-code-tools
alirezarezvani/claude-code-tresor,606,606,141,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1923,1923,301,16,16,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
d-kimuson/claude-code-viewer,963,963,110,0,0,0,https://github.com/d-kimuson/claude-code-viewer
wasabeef/claude-code-cookbook,1035,1035,111,1,1,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,43558,43558,4380,85,85,10,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,761,761,124,1,1,0,https://github.com/revfactory/claude-code-mastering
Alishahryar1/free-claude-code,921,921,111,1,1,0,https://github.com/Alishahryar1/free-claude-code
cixingguangming55555/wechat-bot,2534,2534,664,0,0,-1,https://github.com/cixingguangming55555/wechat-bot
anthropics/claude-agent-sdk-demos,1683,1683,262,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,729,729,105,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,9550,9550,671,50,50,0,https://github.com/Yeachan-Heo/oh-my-claudecode
numman-ali/openskills,8991,8991,572,5,5,0,https://github.com/numman-ali/openskills
alirezarezvani/claude-skills,4696,4696,519,81,81,8,https://github.com/alirezarezvani/claude-skills
code-yeongyu/oh-my-openagent,39582,39582,2992,83,83,5,https://github.com/code-yeongyu/oh-my-openagent
severity1/claude-code-prompt-improver,1246,1246,107,2,2,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,5385,5385,713,11,11,-1,https://github.com/anthropics/claude-agent-sdk-python
MadAppGang/claude-code,244,244,25,1,1,0,https://github.com/MadAppGang/claude-code
daymade/claude-code-skills,646,646,97,2,2,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,620,620,130,1,1,1,https://github.com/ccplugins/awesome-claude-code-plugins
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1916,1916,61,0,0,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,121210,121210,12550,182,182,21,https://github.com/anomalyco/opencode
PleasePrompto/notebooklm-skill,4409,4409,434,8,8,0,https://github.com/PleasePrompto/notebooklm-skill
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
rohitg00/awesome-claude-code-toolkit,694,694,119,6,6,1,https://github.com/rohitg00/awesome-claude-code-toolkit
BloopAI/vibe-kanban,23084,23084,2254,13,13,1,https://github.com/BloopAI/vibe-kanban
gsd-build/get-shit-done,29008,29008,2443,178,178,19,https://github.com/gsd-build/get-shit-done
kepano/obsidian-skills,13571,13571,741,32,32,1,https://github.com/kepano/obsidian-skills
manzaltu/claude-code-ide.el,1399,1399,84,1,1,0,https://github.com/manzaltu/claude-code-ide.el
