full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
BloopAI/vibe-kanban,20903,20903,1973,34,34,7,https://github.com/BloopAI/vibe-kanban
browser-use/browser-use,78108,78108,9248,29,29,9,https://github.com/browser-use/browser-use
anomalyco/opencode,101300,101300,9731,254,254,37,https://github.com/anomalyco/opencode
Matt-Dionis/claude-code-configs,614,614,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1328,1328,75,2,2,0,https://github.com/manzaltu/claude-code-ide.el
MadAppGang/claude-code,224,224,21,0,0,0,https://github.com/MadAppGang/claude-code
laravel/claude-code,486,486,15,2,2,0,https://github.com/laravel/claude-code
thedotmack/claude-mem,26396,26396,1758,26396,26396,1758,https://github.com/thedotmack/claude-mem
Yeachan-Heo/oh-my-claudecode,5696,5696,404,5696,5696,404,https://github.com/Yeachan-Heo/oh-my-claudecode
PleasePrompto/notebooklm-skill,3411,3411,337,7,7,0,https://github.com/PleasePrompto/notebooklm-skill
gsd-build/get-shit-done,12760,12760,1226,103,103,12,https://github.com/gsd-build/get-shit-done
